Module                  Size  Used by
crc32_pclmul           12288  0
polyval_clmulni        12288  0
polyval_generic        12288  1 polyval_clmulni
nvme_core             221184  3 nvme
hid_multitouch         36864  0
ghash_clmulni_intel    16384  0
r8169                 118784  0
video                  77824  3 nvidia_wmi_ec_backlight,ideapad_laptop,nouveau
xhci_pci               24576  0
ucsi_acpi              12288  0
sha256_ssse3           32768  0
hid_generic            12288  0
sha1_ssse3             32768  0
typec_ucsi             65536  1 ucsi_acpi
xhci_pci_renesas       20480  1 xhci_pci
nvme_auth              28672  1 nvme_core
realtek                45056  1
typec                 110592  1 typec_ucsi
i2c_hid_acpi           12288  0
i2c_hid                40960  1 i2c_hid_acpi
wmi                    28672  7 video,nvidia_wmi_ec_backlight,lenovo_wmi_hotkey_utilities,wmi_bmof,ideapad_laptop,mxm_wmi,nouveau
hid                   262144  4 i2c_hid,usbhid,hid_multitouch,hid_generic
aesni_intel           122880  4
crypto_simd            16384  1 aesni_intel
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
